,time_length,move_direction_x,move_direction_y,move_direction_z,feet_separation_m,rear_leg_proj_max,rear_leg_proj_norm_time,rear_leg_proj_end,lead_leg_proj_max,lead_leg_proj_norm_time,lead_leg_proj_end,lower_half_proj_max,lower_half_proj_norm_time,lower_half_proj_end,lead_arm_proj_max,lead_arm_proj_norm_time,lead_arm_proj_end,torso_proj_max,torso_proj_norm_time,torso_proj_end,pitch_up_arm_proj_max,pitch_up_arm_proj_norm_time,pitch_up_arm_proj_end,pitch_forearm_proj_max,pitch_forearm_proj_norm_time,pitch_forearm_proj_end,pitch_hand_proj_max,pitch_hand_proj_norm_time,pitch_hand_proj_end,total_proj_max,total_proj_norm_time,total_proj_end,rear_leg_side_max,rear_leg_side_max_percent,rear_leg_side_max_norm_time,rear_leg_side_min,rear_leg_side_min_percent,rear_leg_side_min_norm_time,rear_leg_vert_ang,lead_leg_side_max,lead_leg_side_max_percent,lead_leg_side_max_norm_time,lead_leg_side_min,lead_leg_side_min_percent,lead_leg_side_min_norm_time,lead_leg_vert_ang,lower_half_side_max,lower_half_side_max_percent,lower_half_side_max_norm_time,lower_half_side_min,lower_half_side_min_percent,lower_half_side_min_norm_time,lower_half_vert_ang,lead_arm_side_max,lead_arm_side_max_percent,lead_arm_side_max_norm_time,lead_arm_side_min,lead_arm_side_min_percent,lead_arm_side_min_norm_time,lead_arm_vert_ang,torso_side_max,torso_side_max_percent,torso_side_max_norm_time,torso_side_min,torso_side_min_percent,torso_side_min_norm_time,torso_vert_ang,pitch_up_arm_side_max,pitch_up_arm_side_max_percent,pitch_up_arm_side_max_norm_time,pitch_up_arm_side_min,pitch_up_arm_side_min_percent,pitch_up_arm_side_min_norm_time,pitch_up_arm_vert_ang,pitch_forearm_side_max,pitch_forearm_side_max_percent,pitch_forearm_side_max_norm_time,pitch_forearm_side_min,pitch_forearm_side_min_percent,pitch_forearm_side_min_norm_time,pitch_forearm_vert_ang,pitch_hand_side_max,pitch_hand_side_max_percent,pitch_hand_side_max_norm_time,pitch_hand_side_min,pitch_hand_side_min_percent,pitch_hand_side_min_norm_time,pitch_hand_vert_ang,total_side_max,total_side_max_percent,total_side_max_norm_time,total_side_min,total_side_min_percent,total_side_min_norm_time,total_vert_ang,rear_hip_ir_range_norm,rear_hip_ir_range_full_max,rear_hip_ir_range_max,rear_hip_ir_range_max_norm_time,rear_hip_ir_range_full_min,rear_hip_ir_range_min,rear_hip_ir_range_min_norm_time,lead_knee_flex_range_norm,lead_knee_flex_range_full_max,lead_knee_flex_range_max,lead_knee_flex_range_max_norm_time,lead_knee_flex_range_full_min,lead_knee_flex_range_min,lead_knee_flex_range_min_norm_time,lumbar_ext_range_norm,lumbar_ext_range_full_max,lumbar_ext_range_max,lumbar_ext_range_max_norm_time,lumbar_ext_range_full_min,lumbar_ext_range_min,lumbar_ext_range_min_norm_time,spine_rot_range_norm,spine_rot_range_full_max,spine_rot_range_max,spine_rot_range_max_norm_time,spine_rot_range_full_min,spine_rot_range_min,spine_rot_range_min_norm_time,pitch_shoulder_horz_range_norm,pitch_shoulder_horz_range_full_max,pitch_shoulder_horz_range_max,pitch_shoulder_horz_range_max_norm_time,pitch_shoulder_horz_range_full_min,pitch_shoulder_horz_range_min,pitch_shoulder_horz_range_min_norm_time,pitch_shoulder_rot_range_norm,pitch_shoulder_rot_range_full_max,pitch_shoulder_rot_range_max,pitch_shoulder_rot_range_max_norm_time,pitch_shoulder_rot_range_full_min,pitch_shoulder_rot_range_min,pitch_shoulder_rot_range_min_norm_time,pitch_elbow_flex_range_norm,pitch_elbow_flex_range_full_max,pitch_elbow_flex_range_max,pitch_elbow_flex_range_max_norm_time,pitch_elbow_flex_range_full_min,pitch_elbow_flex_range_min,pitch_elbow_flex_range_min_norm_time,lower_half_to_torso_proj,torso_to_up_arm_proj,up_arm_to_pitch_hand_proj,dom_hand,dom_hand_mass,dom_hand_radius,org_movement_id,movement_id,version_metrics,session_date,session_num,movement_num,s3_key
0,0.1933,0.065,0.991,-0.119,1.6588,15.9,55.172405,9.9,18.9,74.13796,12.2,32.4,81.0345,23.6,17.7,12.069012,2.7,26.2,81.0345,11.7,22.0,81.0345,11.9,27.0,99.99999,27.0,24.9,99.99999,24.9,126.6,84.48277,110.0,1.1,0.1,-210.34474,-9.9,-0.59,84.48277,66.7,9.7,0.36,-87.930984,-0.2,-0.01,53.44827,-44.9,8.0,0.38,-89.65512,-10.9,-0.29,84.48277,56.4,1.0,0.47,-170.68956,-12.2,-0.5,39.65518,20.9,3.5,0.83,-105.17234,-15.2,-0.53,58.620678,56.5,9.2,0.56,60.34481,-1.3,-0.62,-170.68956,51.7,9.8,0.67,65.51722,-0.5,-0.25,-170.68956,50.8,7.2,0.76,82.75864,0.1,0.19,-253.4482,52.8,13.0,0.58,-108.62061,-30.9,-0.29,55.172405,56.3,0.76,46.6,46.6,1.7241358,-39.3,-18.5,51.724133,0.16,130.7,56.0,62.068947,3.8,35.1,0.0,0.57,-3.5,-9.6,55.172405,-62.5,-43.1,99.99999,0.29,53.8,4.1,99.99999,-40.0,-23.2,55.172405,0.02,130.0,-2.1,99.99999,-46.5,-5.6,81.0345,0.16,135.0,-146.2,99.99999,-198.0,-198.0,86.20691,0.62,124.9,99.8,81.0345,14.4,31.2,99.99999,0.81,0.84,1.13,RHA,0.53070265,1.0266954,db386c24-4030-4be1-8e87-3aa005b53f33,cea18c74-fdea-416a-a07f-70104b5e67b2,v1-0-0,2023-04-17,718539,17,data_delivery/hawkeyehfr/20230417/718539/baseball-pitching/594798/metrics-baseball-pitching-v2-0-0/017_db386c24-4030-4be1-8e87-3aa005b53f33_metrics.csv
1,0.19,0.06,0.99,-0.131,1.6756,17.9,26.315819,11.8,19.5,73.68424,12.9,33.9,26.315819,26.5,17.7,8.771981,2.5,26.2,82.45616,13.4,22.6,82.45616,12.9,26.9,100.0,26.9,24.3,100.0,24.3,127.5,85.96493,115.7,4.1,0.33,-17.543837,-10.8,-0.59,85.96493,61.7,10.1,0.6,1.7543837,-0.9,-0.3,-314.03494,-48.6,9.8,0.71,-19.298222,-9.5,-0.27,85.96493,49.9,0.8,0.43,-161.40343,-11.9,-0.54,45.61404,19.2,3.1,0.76,-98.24555,-16.4,-0.56,61.403492,56.9,9.4,0.58,59.64911,-0.9,-0.07,100.0,51.6,10.2,0.69,64.91226,-0.3,-0.27,-168.42096,50.5,7.3,0.75,84.21054,-0.2,-0.32,-275.4385,53.5,11.5,0.46,-96.491165,-31.1,-0.28,57.894726,54.7,0.85,48.2,48.2,3.5087674,-30.6,-18.7,52.631573,0.17,125.5,57.5,61.403492,3.6,37.0,0.0,0.61,-3.7,-3.7,28.070202,-67.7,-42.4,100.0,0.44,58.4,5.4,100.0,-43.0,-38.8,26.315819,0.01,130.0,-4.4,100.0,-48.0,-6.6,82.45616,0.13,135.0,-156.4,100.0,-198.6,-198.6,87.71931,0.59,125.8,99.3,82.45616,16.5,35.0,100.0,0.77,0.86,1.08,RHA,0.53070265,1.0047202,8d8aaef1-66f5-467d-8e38-4565a14c2260,5f6dc1e7-57d8-40e0-a41b-8ae87913f80a,v1-0-0,2023-04-17,718539,18,data_delivery/hawkeyehfr/20230417/718539/baseball-pitching/594798/metrics-baseball-pitching-v2-0-0/018_8d8aaef1-66f5-467d-8e38-4565a14c2260_metrics.csv
2,0.1933,0.063,0.993,-0.104,1.6905,17.2,55.172405,10.5,19.2,72.413826,12.6,33.2,60.34481,24.7,18.4,10.344876,1.6,27.2,82.75864,12.7,21.6,81.0345,12.7,27.5,99.99999,27.5,24.7,99.99999,24.7,130.4,86.20691,112.8,1.2,0.11,-206.89647,-11.2,-0.6,86.20691,61.9,9.1,0.39,-41.379257,0.5,0.04,55.172405,-48.3,7.9,0.36,-91.37926,-10.7,-0.3,86.20691,52.2,1.0,0.29,99.99999,-11.9,-0.52,43.103455,20.3,2.5,0.82,-106.89648,-15.3,-0.54,58.620678,56.9,9.4,0.54,62.068947,-1.2,-0.09,99.99999,50.5,10.2,0.68,65.51722,-0.3,-0.27,-182.75851,49.1,7.1,0.75,82.75864,0.1,0.87,-237.93091,51.1,10.6,0.37,-93.10339,-31.0,-0.29,56.89654,54.9,0.97,49.8,49.8,1.7241358,-26.5,-24.5,51.724133,0.16,127.3,57.3,60.34481,3.9,37.5,0.0,0.55,-3.9,-10.4,55.172405,-65.0,-43.8,99.99999,0.34,54.7,5.3,99.99999,-39.8,-26.7,55.172405,0.01,130.0,-3.8,82.75864,-43.9,-5.7,94.82759,0.16,125.1,-147.0,99.99999,-197.8,-197.8,86.20691,0.66,124.5,99.4,81.0345,15.0,26.8,99.99999,0.82,0.8,1.14,RHA,0.53070265,1.0228859,894150c3-78a8-4ff0-bb44-de9dccfdcc9c,861d309c-c215-443b-952f-e4c99cc1e470,v1-0-0,2023-04-17,718539,19,data_delivery/hawkeyehfr/20230417/718539/baseball-pitching/594798/metrics-baseball-pitching-v2-0-0/019_894150c3-78a8-4ff0-bb44-de9dccfdcc9c_metrics.csv
3,0.1833,0.062,0.99,-0.128,1.6693,17.2,21.818218,10.3,20.7,74.54549,14.0,34.8,80.00002,26.0,17.4,7.272783,2.0,27.6,81.81821,12.3,22.2,81.81821,12.5,27.0,100.0,27.0,24.7,100.0,24.7,130.5,85.45456,112.8,1.0,0.48,-339.99988,-10.2,-0.57,85.45456,63.9,9.4,0.33,-94.545395,-2.9,-0.89,-339.99988,-44.2,7.7,0.49,-19.999973,-9.4,-0.25,85.45456,52.6,1.0,0.53,-185.45444,-12.2,-0.57,45.45455,19.8,3.3,0.79,-116.36355,-18.5,-0.6,59.999985,56.4,9.4,0.71,47.27273,-1.0,-0.07,100.0,51.8,9.9,0.68,63.636345,-0.3,-0.26,-183.63625,51.0,7.2,0.73,83.63638,0.1,0.53,-325.45438,53.5,11.7,0.53,-119.99991,-36.5,-0.32,58.181805,55.7,0.88,48.8,48.8,0.0,-31.5,-21.6,52.72727,0.16,128.5,58.2,59.999985,4.2,38.3,0.0,0.62,-3.8,-3.8,25.454576,-66.6,-42.7,100.0,0.46,54.5,4.3,100.0,-38.6,-38.5,21.818218,0.02,130.0,-3.3,100.0,-47.4,-6.6,87.27274,0.14,130.3,-153.2,100.0,-198.9,-198.9,87.27274,0.55,125.7,97.7,81.81821,10.8,34.6,100.0,0.79,0.81,1.11,RHA,0.53070265,1.0080812,be8d7f1a-4932-43f7-9fed-87607237574c,903cbcc6-1438-4cc6-847e-bc6bf6fa0d67,v1-0-0,2023-04-17,718539,20,data_delivery/hawkeyehfr/20230417/718539/baseball-pitching/594798/metrics-baseball-pitching-v2-0-0/020_be8d7f1a-4932-43f7-9fed-87607237574c_metrics.csv
4,0.1833,0.065,0.991,-0.118,1.6665,19.0,56.36363,11.7,21.0,72.72731,14.5,37.2,59.999985,27.8,18.5,5.454603,2.7,29.5,81.81821,13.4,22.7,81.81821,13.1,27.0,100.0,27.0,24.4,100.0,24.4,135.8,83.63638,117.3,1.5,0.17,-230.90898,-11.7,-0.6,83.63638,62.9,9.6,0.34,-98.181755,-4.8,-0.99,-350.90897,-42.5,7.6,0.34,-98.181755,-12.2,-0.29,83.63638,55.2,1.0,0.21,100.0,-12.3,-0.55,43.63637,20.2,3.3,0.78,-114.54537,-17.6,-0.55,58.181805,58.3,9.6,0.57,58.181805,-1.2,-0.09,100.0,52.2,10.0,0.66,63.636345,-0.3,-0.24,-190.90897,50.9,7.5,0.74,83.63638,0.1,0.38,-299.99988,53.6,11.4,0.49,-114.54537,-36.4,-0.3,56.36363,57.4,0.88,48.3,48.3,-1.8181794,-42.6,-31.5,50.90909,0.19,131.4,50.9,56.36363,3.9,26.2,100.0,0.55,-3.0,-11.3,56.36363,-60.6,-43.0,100.0,0.39,53.7,9.1,100.0,-40.7,-27.3,56.36363,0.01,130.0,-4.1,100.0,-44.4,-5.5,89.09092,0.13,115.3,-158.7,100.0,-198.9,-198.9,87.27274,0.56,127.2,98.3,81.81821,15.8,35.4,100.0,0.79,0.77,1.08,RHA,0.53070265,1.0052888,ce87d831-d2bb-4aea-94e3-d8213f5cae04,d605e4a0-33bb-425d-b267-fd78ced83c64,v1-0-0,2023-04-17,718539,21,data_delivery/hawkeyehfr/20230417/718539/baseball-pitching/594798/metrics-baseball-pitching-v2-0-0/021_ce87d831-d2bb-4aea-94e3-d8213f5cae04_metrics.csv
5,0.1867,0.073,0.991,-0.116,1.6635,16.7,57.14285,9.3,18.7,75.00003,14.0,34.3,82.14288,25.3,18.4,8.928624,2.8,27.6,82.14288,13.7,23.0,82.14288,13.6,28.0,100.0,28.0,24.9,100.0,24.9,133.1,85.7143,117.4,1.7,0.23,-214.28563,-10.0,-0.56,85.7143,64.7,10.8,0.41,-35.71424,-4.4,-0.87,-335.71417,-47.4,8.0,0.49,-124.9999,-10.2,-0.27,85.7143,47.9,0.9,0.19,100.0,-12.0,-0.53,46.428577,21.1,2.9,0.67,-96.42851,-15.4,-0.54,60.71427,56.1,9.9,0.61,58.92856,-1.1,-0.08,100.0,52.1,10.7,0.69,66.07141,-0.3,-0.24,-171.42848,50.9,7.3,0.74,83.92859,0.1,0.88,-258.92844,53.8,12.1,0.5,-121.42848,-30.0,-0.27,57.14285,55.0,0.9,50.0,50.0,5.3571997,-26.7,-18.6,55.357136,0.15,125.1,57.3,66.07141,4.0,39.4,0.0,0.54,-3.4,-10.9,57.14285,-61.3,-42.0,100.0,0.3,54.1,7.5,100.0,-40.2,-20.7,57.14285,0.01,130.0,-5.1,100.0,-47.4,-7.3,82.14288,0.13,108.7,-158.7,100.0,-199.1,-199.1,87.500015,0.6,125.9,99.2,82.14288,16.3,33.0,100.0,0.8,0.84,1.08,RHA,0.53070265,1.0083612,c203c6b9-240b-47cd-8449-88e8646c9571,dd284f76-bf9b-48de-b5e7-120b60d424eb,v1-0-0,2023-04-17,718539,22,data_delivery/hawkeyehfr/20230417/718539/baseball-pitching/594798/metrics-baseball-pitching-v2-0-0/022_c203c6b9-240b-47cd-8449-88e8646c9571_metrics.csv
6,0.19,0.076,0.982,-0.172,1.713,19.3,56.140343,11.3,18.5,73.68424,10.4,35.1,19.298283,23.2,16.7,8.771981,3.0,26.5,80.701775,10.7,19.9,75.43862,11.0,26.4,100.0,26.4,24.6,100.0,24.6,124.7,84.21054,106.8,1.6,0.18,-203.5087,-11.4,-0.57,84.21054,60.1,9.2,0.31,-87.719246,-1.1,-0.09,54.385956,-51.0,7.7,0.77,-201.75432,-12.6,-0.35,56.140343,54.1,0.9,0.19,100.0,-13.4,-0.57,42.10527,20.4,3.9,0.88,-108.77185,-19.0,-0.6,59.64911,61.7,8.3,0.71,45.61404,-1.5,-0.13,100.0,55.5,9.3,0.66,63.157875,-0.3,-0.24,-87.719246,55.4,6.9,0.67,84.21054,0.0,0.02,45.61404,58.4,13.4,0.6,-110.52624,-43.1,-0.36,57.894726,58.3,0.77,47.0,47.0,-5.263151,-52.1,-29.5,49.122807,0.15,128.8,55.5,63.157875,5.6,36.7,0.0,0.44,-1.5,-10.0,56.140343,-77.1,-43.3,100.0,0.22,61.9,2.3,100.0,-41.6,-20.3,56.140343,0.02,130.0,-1.0,100.0,-46.3,-4.3,80.701775,0.2,114.4,-131.3,100.0,-193.1,-193.1,84.21054,0.76,123.7,109.2,75.43862,17.5,28.3,100.0,0.76,0.77,1.23,RHA,0.53070265,1.025301,8786b3ed-3c09-4050-bc18-ed47720a3961,6ee20f60-9157-45df-ba3f-66c85b1b07af,v1-0-0,2023-04-17,718539,23,data_delivery/hawkeyehfr/20230417/718539/baseball-pitching/594798/metrics-baseball-pitching-v2-0-0/023_8786b3ed-3c09-4050-bc18-ed47720a3961_metrics.csv
7,0.1833,0.071,0.989,-0.128,1.7024,18.9,56.36363,11.2,18.2,76.36366,12.7,36.5,80.00002,25.7,20.1,9.090962,1.9,29.0,83.63638,14.2,22.0,83.63638,13.6,27.7,100.0,27.7,24.2,100.0,24.2,135.2,85.45456,117.0,1.9,0.2,-225.45444,-10.8,-0.55,85.45456,61.5,10.0,0.34,-96.36357,-1.0,-0.27,-345.4544,-48.5,8.9,0.39,-101.818115,-10.8,-0.28,85.45456,48.0,1.0,0.28,100.0,-12.2,-0.53,43.63637,21.6,3.4,0.78,-112.72719,-16.9,-0.56,59.999985,57.1,9.6,0.73,47.27273,-1.4,-0.07,87.27274,52.2,10.6,0.69,65.45452,-0.4,-0.3,-187.27261,50.7,7.2,0.73,83.63638,0.1,0.72,-239.99988,53.4,13.4,0.5,-109.09083,-33.0,-0.29,58.181805,55.4,0.91,50.3,50.3,0.0,-26.0,-19.3,52.72727,0.16,123.4,57.9,65.45452,3.7,39.3,0.0,0.53,-3.2,-12.2,56.36363,-64.6,-44.9,100.0,0.28,50.6,2.2,100.0,-40.5,-23.5,56.36363,0.02,89.4,-5.2,83.63638,-45.3,-7.6,94.54546,0.12,135.0,-158.8,100.0,-199.1,-199.1,87.27274,0.57,126.2,91.9,83.63638,15.0,28.6,100.0,0.79,0.76,1.1,RHA,0.53070265,1.0046057,fb7b5eea-aeb4-4f6a-8f4c-4dbbf80acd42,cfdda275-6a57-477c-977c-50ea2b424ffc,v1-0-0,2023-04-17,718539,24,data_delivery/hawkeyehfr/20230417/718539/baseball-pitching/594798/metrics-baseball-pitching-v2-0-0/024_fb7b5eea-aeb4-4f6a-8f4c-4dbbf80acd42_metrics.csv
8,0.1833,0.094,0.985,-0.146,1.7222,18.7,54.54545,13.0,18.2,70.90913,10.7,34.8,80.00002,25.4,18.4,14.545501,3.9,26.7,81.81821,11.7,20.8,76.36366,11.5,26.4,100.0,26.4,23.9,100.0,23.9,130.5,85.45456,111.3,1.7,0.19,-221.81808,-13.5,-0.59,85.45456,57.4,10.2,0.47,-25.454512,-3.7,-0.95,-341.81805,-51.6,7.5,0.4,-21.818153,-13.2,-0.35,85.45456,46.5,0.8,0.97,-279.99988,-12.9,-0.51,34.545475,21.5,3.4,0.75,-119.99991,-17.6,-0.6,59.999985,60.3,8.4,0.71,43.63637,-1.6,-0.13,100.0,54.7,9.1,0.66,61.818165,-0.2,-0.19,-170.909,54.3,6.8,0.69,83.63638,0.1,0.91,-229.0908,57.9,12.4,0.5,-123.63627,-38.1,-0.33,58.181805,55.3,1.0,49.5,49.5,0.0,-25.5,-25.5,49.090908,0.18,129.1,57.9,61.818165,6.4,36.3,0.0,0.43,-2.0,-11.3,54.54545,-76.9,-43.6,100.0,0.26,54.2,-1.1,100.0,-39.2,-25.0,54.54545,0.02,130.0,-1.8,100.0,-45.3,-4.5,81.81821,0.19,92.6,-140.7,100.0,-195.0,-195.0,85.45456,0.78,124.0,108.1,76.36366,19.8,27.2,100.0,0.77,0.8,1.15,RHA,0.53070265,1.0095452,60215bcd-d16c-4d8a-8d18-5ac511080231,ba817afe-e178-444e-98a9-c169c6e7a9c2,v1-0-0,2023-04-17,718539,25,data_delivery/hawkeyehfr/20230417/718539/baseball-pitching/594798/metrics-baseball-pitching-v2-0-0/025_60215bcd-d16c-4d8a-8d18-5ac511080231_metrics.csv
9,0.1833,0.07,0.987,-0.146,1.6774,18.1,56.36363,12.0,19.5,72.72731,15.2,37.2,80.00002,28.9,17.0,5.454603,2.5,28.2,80.00002,11.5,22.5,80.00002,12.4,27.6,100.0,27.6,24.9,100.0,24.9,134.8,85.45456,115.4,1.7,0.15,-198.18169,-12.4,-0.57,85.45456,60.2,10.0,0.34,-90.909035,-2.1,-0.52,-327.27255,-43.8,7.9,0.45,-123.63627,-12.1,-0.3,85.45456,56.5,0.9,0.63,-179.9999,-12.0,-0.54,41.81819,20.6,3.5,0.77,-118.181725,-16.8,-0.55,59.999985,58.7,9.6,0.74,45.45455,-1.5,-0.12,100.0,54.2,9.9,0.68,63.636345,-0.4,-0.26,-172.72717,53.6,7.4,0.72,83.63638,0.1,0.14,-265.45438,55.7,13.7,0.59,-119.99991,-34.7,-0.3,56.36363,57.9,1.0,48.3,48.3,0.0,-28.4,-28.4,50.90909,0.2,121.7,45.8,16.36368,3.9,22.4,100.0,0.57,-2.5,-10.8,56.36363,-60.9,-44.2,100.0,0.29,57.4,6.6,100.0,-39.7,-21.5,56.36363,0.02,130.0,-5.4,100.0,-47.7,-9.3,80.00002,0.15,113.6,-152.3,100.0,-198.1,-198.1,85.45456,0.63,125.2,99.3,80.00002,12.7,28.2,100.0,0.76,0.8,1.11,RHA,0.53070265,1.0198196,3e57a8be-d3c4-4e22-8bda-71060a15a7c3,85e85255-e31c-43d7-960f-95dc1ff04e4a,v1-0-0,2023-04-17,718539,26,data_delivery/hawkeyehfr/20230417/718539/baseball-pitching/594798/metrics-baseball-pitching-v2-0-0/026_3e57a8be-d3c4-4e22-8bda-71060a15a7c3_metrics.csv
10,0.1833,0.078,0.986,-0.144,1.6912,18.9,52.727238,12.4,17.5,70.90911,10.3,34.9,80.000015,24.3,18.7,7.2727227,2.3,27.1,81.81819,11.1,20.8,78.18183,11.2,26.2,100.0,26.2,23.8,100.0,23.8,129.2,83.636375,107.3,1.6,0.18,-220.00012,-12.4,-0.58,83.636375,56.9,9.3,0.33,-98.181885,-1.0,-0.3,-325.45465,-48.1,8.2,0.39,-100.00007,-12.6,-0.33,83.636375,48.5,1.1,0.27,100.0,-12.5,-0.51,36.363613,20.0,3.6,0.79,-109.090965,-18.1,-0.62,56.3636,57.6,8.9,0.74,41.818153,-1.3,-0.11,100.0,52.9,9.8,0.66,63.636322,-0.3,-0.26,-180.00008,51.7,7.1,0.73,81.81819,0.1,0.9,-232.72739,53.7,13.5,0.61,-120.00005,-39.7,-0.36,54.545418,54.4,0.94,47.1,47.1,-1.8182456,-24.4,-20.2,47.272697,0.18,127.7,60.5,67.27268,6.1,38.3,0.0,0.51,-2.8,-10.1,52.727238,-67.5,-42.8,100.0,0.24,58.6,2.3,100.0,-37.8,-20.7,52.727238,0.01,87.0,-2.8,100.0,-47.4,-4.5,90.909096,0.21,121.0,-128.1,100.0,-195.9,-195.9,83.636375,0.7,124.8,101.8,78.18183,13.2,24.2,100.0,0.77,0.79,1.15,RHA,0.53070265,1.0184044,bf633df3-eddc-490f-9c7f-e924b2c31080,cd539115-dce5-4e74-a765-2d7b4cbb4f9c,v1-0-0,2023-04-17,718539,33,data_delivery/hawkeyehfr/20230417/718539/baseball-pitching/594798/metrics-baseball-pitching-v2-0-0/033_bf633df3-eddc-490f-9c7f-e924b2c31080_metrics.csv
11,0.18,0.088,0.984,-0.158,1.7124,17.9,51.851818,12.1,18.0,70.37039,10.4,33.8,81.48149,24.0,17.8,5.555552,2.5,25.3,83.33334,10.7,20.7,77.777794,10.9,26.0,100.0,26.0,24.2,100.0,24.2,126.6,87.03705,105.8,1.7,0.2,-227.7779,-12.2,-0.56,87.03705,60.1,9.7,0.34,-101.85192,-3.3,-0.77,-355.55573,-49.2,7.2,0.32,-101.85192,-12.0,-0.33,87.03705,48.9,1.0,0.22,100.0,-12.2,-0.52,37.037014,20.4,2.9,0.86,-288.88904,-16.4,-0.58,59.25922,57.8,8.8,0.73,42.592564,-1.6,-0.15,100.0,53.0,9.7,0.67,62.96292,-0.3,-0.28,-101.85192,53.1,7.2,0.7,83.33334,0.1,0.42,-288.88904,55.8,10.6,0.5,-125.92598,-34.6,-0.31,55.55552,54.7,0.71,47.8,47.8,-5.5556183,-47.9,-20.5,46.296265,0.17,125.1,57.6,61.111073,5.3,37.6,0.0,0.49,-2.5,-10.0,51.851818,-69.9,-43.3,100.0,0.21,55.4,0.5,100.0,-39.2,-19.4,51.851818,0.01,84.2,-1.9,100.0,-46.6,-3.0,94.44445,0.17,115.8,-140.6,100.0,-193.9,-193.9,85.185196,0.71,126.2,105.3,77.777794,14.4,25.8,100.0,0.75,0.84,1.17,RHA,0.53070265,1.0176896,91cffad2-400b-4be7-bff9-d10680247db8,0ccda2a9-cfe9-4be5-9c02-04d39b72a038,v1-0-0,2023-04-17,718539,34,data_delivery/hawkeyehfr/20230417/718539/baseball-pitching/594798/metrics-baseball-pitching-v2-0-0/034_91cffad2-400b-4be7-bff9-d10680247db8_metrics.csv
